follower_username,followee_username
user_115702306533209355625,user_111991876596496628445
user_109596373340495798827,user_100940716892313727285
user_113929616350498302317,user_104397059726359189186
user_106027609527831583580,user_116799045993451756042
user_110701307803962595019,user_107323726887023845557
user_107991035368810507771,user_101872015774361781592
user_117421021456205115327,user_102150693225130002912
user_102904072906435195211,user_101739469994127372590
user_101052845941647002594,user_100042589426158562339
user_112433233162542061134,user_100834378485895409468
user_115739378269261680935,user_117757565120070816446
user_114664307180734299077,user_100518419853963396365
user_116737306836663798171,user_103618199843630115520
user_110258899475477198037,user_118320665823821681206
user_117840649766034848455,user_100585555255542998765
user_107760322959931160638,user_117556389603643931415
user_101692096009250888838,user_102767420110355783754
user_111435079858164240138,user_110865239138634754687
user_109813811254829685344,user_109596373340495798827
user_108208513736292177751,user_111965319170155055546
user_114346317659753507000,user_108202274299391625681
user_111983095812878629768,user_113506898598086193893
user_110865239138634754687,user_111633725541752229957
user_113340344488226387361,user_107055831699570675932
user_115958937168985975805,user_106812353891907639293
user_115243459806091371553,user_113069090773132071782
user_113127486243987630038,user_114717554329322767813
user_105598331474460267998,user_111910200485959385328
user_110276241285032138769,user_116539512926812481317
user_117388252776312694644,user_111499908439497508351
user_113859540036726448291,user_103147347309732225253
user_113764089012565237302,user_115858612877723984178
user_104679138423679974698,user_102556961352393259945
user_105706178492556563330,user_104482086818095930400
user_105126600602218044918,user_108869749635348559485
user_108896556048763968559,user_117421021456205115327
user_107022061436866576067,user_108094760132961329912
user_114503806689722509896,user_112472063587247013272
user_101052845941647002594,user_102725109790365996602
user_107831413340697273273,user_114699336529956127102
user_116339430670263519533,user_117220229319287930142
user_113764089012565237302,user_104974535027939443031
user_100333543044473222310,user_103454297475480511679
user_102665200552377966664,user_117115495439924792722
user_114744510189908480227,user_112859244767729828637
user_111035851894814840076,user_111056444123779199997
user_107156755577155979497,user_112216705550566244316
user_105248484118148978714,user_103809839833065657064
user_103020757351652425388,user_108056398297424061653
user_115623252983295760522,user_103389452828130864950
user_113581596275616200424,user_118323006760401758037
user_117920836752193813135,user_108189587050871927619
user_107959790171356428064,user_113523342129587107920
user_109486203725207616885,user_107140884077582692033
user_108849711147881315177,user_118301801570268856235
user_112456998320142661662,user_116785581294120406864
user_103145081878594422544,user_107111579950257773726
user_117465496456103763317,user_103345707817934461425
user_107379489464447013340,user_107358865307002159479
user_107236664740300085612,user_116819601264686093434
user_113384490254116477731,user_111711145986835145800
user_111435079858164240138,user_110818385850684816555
user_110446538727989465968,user_103341723446617438320
user_113581596275616200424,user_100377940347053808663
user_103100496883422151101,user_115963821022986200770
user_114466969251209334825,user_101547242940587948399
user_104974535027939443031,user_106467891941793155295
user_114092052797730247075,user_105421360534824524100
user_114287391248383368206,user_115360471097759949621
user_111162301399626566385,user_100432456209427807893
user_116200892915573902040,user_111056444123779199997
user_112707199408484711520,user_113117251731252114390
user_117527718645259277548,user_103693408904411606512
user_113524745665911089922,user_109193674823031718540
user_109596373340495798827,user_104560124403688998123
user_106682831104422461380,user_106189723444098348646
user_108736646334864181044,user_116059703588219590243
user_113581596275616200424,user_112960790583164686894
user_107612997855711957528,user_113929616350498302317
user_103693408904411606512,user_115772174763814642163
user_103103834116993607848,user_111479780226003223433
user_102204551868146455501,user_115490868856377625184
user_110446538727989465968,user_105312096129013929007
user_100763770877733610336,user_107111579950257773726
user_109596373340495798827,user_103100496883422151101
user_111135306200683567183,user_114930558215776389910
user_108736646334864181044,user_102341149880761839470
user_114742546997782116347,user_107869048080571449117
user_117220917963904171499,user_112623527164721797936
user_107760322959931160638,user_100275307499530023476
user_116513405135290689474,user_103647580612402146818
user_104679138423679974698,user_115924359456918546658
user_111135306200683567183,user_116594199576805510790
user_111400033629648464807,user_105237212888595777019
user_110276241285032138769,user_112333933532796782076
user_105015334290243649083,user_113710395888978478005
user_101682840338947184385,user_103997409386976193988
user_114122960748905067938,user_112844561713780016118
user_104679138423679974698,user_109398421611492546729
user_104064546334481015008,user_102604554618567108175
user_114688759411241407928,user_109325518935169286094
user_113261832667487932178,user_102648148748642147788
user_112555506420381923902,user_113144541265223594115
user_113340344488226387361,user_108208513736292177751
user_106808688302434879780,user_105551989431666449555
user_102404812583412769241,user_103140137391526341351
user_104250970445890717876,user_114629508960670409934
user_108094760132961329912,user_102600774742322762226
user_112658509879375652305,user_105000875740568674706
user_102476152658204495450,user_113111731715139693250
user_105545068944703206621,user_113493854651753327245
user_107111579950257773726,user_101052845941647002594
user_115106448444522478339,user_116394575739281318169
user_109454408494598337213,user_101817213052779787512
user_108986482395975467331,user_111091089527727420853
user_105015334290243649083,user_111121336912406932897
user_107926385284408156819,user_104424338679069151673
user_115541776543203333211,user_103030116155431184588
user_105539218412370809944,user_103484147548147545515
user_109398421611492546729,user_116721722877630861143
user_106914186897370535526,user_108172009599607363531
user_108322543021146059132,user_104174037294742207726
user_107959790171356428064,user_104038699355103594931
user_108056398297424061653,user_109813811254829685344
user_115541776543203333211,user_118015300804185508647
user_116719211656774388392,user_106707821265981413302
user_113180815516125966443,user_112710501221399450850
user_108362732635472987444,user_106532709318061274779
user_106682831104422461380,user_117344752225183656923
user_118230138066120295920,user_116899029375914044550
user_106448042991774980147,user_114985346359714431656
user_110446538727989465968,user_107523860527964908344
user_109486203725207616885,user_114031343427075940404
user_109486203725207616885,user_110277586713114187619
user_115243459806091371553,user_105601162334563131771
user_115459243651688775505,user_103111382143198287157
user_114301140286672625486,user_114516047414042281846
user_110348137481819778312,user_114951205049465295685
user_101692096009250888838,user_102607879302800614538
user_111293145978179424990,user_103111382143198287157
user_102034052532213921839,user_109895887909967698705
user_106612198252274444886,user_103321598587319677720
user_105539218412370809944,user_104737437767089317857
user_108322543021146059132,user_103795921262630398720
user_109596373340495798827,user_115216294530290003241
user_102255986016613110352,user_112764701986732618903
user_102915801446798382700,user_111395306401981598462
user_106324260969464307293,user_114345903275605514915
user_106324260969464307293,user_104577357381178665210
user_105668631124768022675,user_107358865307002159479
user_118299777136505117634,user_113116318008017777871
user_114742546997782116347,user_108219993075584340257
user_115530776534617554663,user_117741745713138927677
user_112658509879375652305,user_118175515740251550869
user_117270655453846612117,user_103997409386976193988
user_114516047414042281846,user_109964383582532868438
user_116339430670263519533,user_101265890424846702444
user_107527001343993112621,user_111004328782782734958
user_112333933532796782076,user_109596373340495798827
user_116766352265080910418,user_103825681530404900115
user_109823866624096356922,user_113684228229434604484
user_113261832667487932178,user_114850559479625069262
user_107323726887023845557,user_105445338044186927815
user_112799586715644830245,user_107404242080797040590
user_114928937512638769810,user_118418436905562612953
user_101052845941647002594,user_103795921262630398720
user_117791391761541223690,user_116805285176805120365
user_116634208853439812955,user_105803618710924334481
user_114742546997782116347,user_100856215453651990855
user_111159671558660040486,user_101261243957067319422
user_111162301399626566385,user_101748070371523002333
user_112658509879375652305,user_102965501513711820631
user_103341723446617438320,user_109009314991990113794
user_104987932455782713675,user_112063946124358686266
user_114345903275605514915,user_113495817446278394874
user_102096212439240784920,user_112265135089213955243
user_100555383096414009506,user_101265890424846702444
user_117115495439924792722,user_107318169263608653171
user_107367382218779881065,user_112063946124358686266
user_110276241285032138769,user_116721722877630861143
user_113116318008017777871,user_108854030482751403518
user_112696040957795558674,user_102128138296891622543
user_109596373340495798827,user_109923941665874520762
user_101035196437264488455,user_105706178492556563330
user_112188647432305746617,user_116200892915573902040
user_116374117927631468606,user_114274687956791581923
user_115111902757485641613,user_113116318008017777871
user_117297867503542100495,user_115744399689614835150
user_116766352265080910418,user_101350483659542128390
user_107318169263608653171,user_107602882044753150398
user_109596373340495798827,user_105557068601771362265
user_102607879302800614538,user_104998691047937243499
user_101261243957067319422,user_108172009599607363531
user_103341723446617438320,user_102128138296891622543
user_104064546334481015008,user_110454253627715621789
user_104424338679069151673,user_104458801156000551882
user_102522934609785480475,user_107332232527606860180
user_100447532306249738876,user_115093555862694271963
user_104602860284118862026,user_103984595971776502972
user_107318169263608653171,user_103061218133986046830
user_100555383096414009506,user_101346228744192401422
user_117746064116017163300,user_106204349636430606809
user_111142884289817620371,user_109412257237874861202
user_101157854606139706613,user_117840649766034848455
user_107182023412675026262,user_110100468009673900593
user_114345903275605514915,user_111910200485959385328
user_114247122654933033701,user_114151508338995369996
user_107991035368810507771,user_106950551569609292145
user_103833388179391400138,user_110818385850684816555
user_107545326706908151271,user_113154773924849387260
user_110347380425323822802,user_112063946124358686266
user_109823866624096356922,user_112425531150945810444
user_115221898088173734174,user_103100496883422151101
user_107926385284408156819,user_104560124403688998123
user_101222579319909953067,user_103721531088765428547
user_107797841320768724118,user_117691391504351341685
user_114345903275605514915,user_111004328782782734958
user_118230138066120295920,user_114987957963756854287
user_113217924531763968801,user_100523784851251213675
user_111860497034317566483,user_101333593083741950617
user_100535338638690515335,user_104233435224873922474
user_110348137481819778312,user_116366087532591682557
user_116513405135290689474,user_110656986166810342588
user_117410239624876462156,user_111527751772875860138
user_115018960949282516687,user_103171849011748425097
user_113340344488226387361,user_100432456209427807893
user_117270655453846612117,user_104553134624556200907
user_110865239138634754687,user_116445437433162945363
user_109446005446985447768,user_105118981108167668145
user_103861741370066605527,user_106075758531242552855
user_105363480331625813313,user_107182023412675026262
user_113691654116060042197,user_102150693225130002912
user_117698165607464864806,user_116046131107486389598
user_116539512926812481317,user_108998673146368660257
user_108056398297424061653,user_108066571890832937802
user_107625557514813177939,user_111058843129764709244
user_112188647432305746617,user_116539512926812481317
user_103693408904411606512,user_105620968080914847096
user_115772174763814642163,user_117465496456103763317
user_102179898810351096347,user_104998691047937243499
user_100043057758270223301,user_107951627396497689055
user_104644540170824315841,user_118207880179234484610
user_112658509879375652305,user_117068310245969878270
user_107140884077582692033,user_103697821787469756035
user_102829356913057400397,user_114308997625908526960
user_113523342129587107920,user_111910200485959385328
user_101682840338947184385,user_114951205049465295685
user_113550515771257787396,user_104167949686819312626
user_109877035555455451821,user_103429767916333774260
user_102965645472907300610,user_107151624355255036787
user_109829103207295789295,user_114919915226752492773
user_109813811254829685344,user_101748070371523002333
user_100490938532400683276,user_109813896768294978296
user_105146290850515029724,user_107159481602229362655
user_102648148748642147788,user_109201681846030076792
user_103020757351652425388,user_117108447922509773781
user_103103834116993607848,user_112528361054207070701
user_110615203095633370838,user_102150693225130002912
user_115947571425501492839,user_113116318008017777871
user_107727150903234299458,user_102889559256621132781
user_100856215453651990855,user_107590093667978669374
user_107831413340697273273,user_113699611323257837519
user_118230138066120295920,user_111649579223579960688
user_106724181552911298818,user_108082478497335384404
user_109130886479781915270,user_105076678694475690385
user_117377434815709898403,user_118170059441102440825
user_101174951617223562800,user_117840649766034848455
user_113130804065852101231,user_111288574156818690676
user_108346637271615594833,user_107590093667978669374
user_112737087024763980113,user_110938159137165455276
user_109823866624096356922,user_106812353891907639293
user_103145081878594422544,user_111677335179568356696
user_117297867503542100495,user_101235095970404720691
user_106862156479660675047,user_110560093627011023241
user_108346637271615594833,user_106636280351174936240
user_113114462378360775452,user_105844328547178759011
user_109823866624096356922,user_104441415299714065572
user_111035851894814840076,user_100313541166146935114
user_103912470393680459414,user_109443407918560334714
user_106862156479660675047,user_110446538727989465968
user_113581596275616200424,user_107367382218779881065
user_100487948960127602987,user_115788203615961124571
user_115111902757485641613,user_101849747879612982297
user_110446538727989465968,user_106198127150293840110
user_113064201123974964733,user_107736282424750070684
user_115578224090485355580,user_106525839712250107474
user_117286003363424561697,user_101817213052779787512
user_113127486243987630038,user_109042059733882129664
user_106612198252274444886,user_104484219049883711215
user_106898588952511738977,user_108082478497335384404
user_116200892915573902040,user_102341630040060852330
user_109602109099036550366,user_100623276740673202144
user_106944536119733342041,user_101765416973555767821
user_108736646334864181044,user_109398421611492546729
user_115221898088173734174,user_105557068601771362265
user_105959481511766460998,user_111401917971052287374
user_100555383096414009506,user_113882113745075873153
user_101748070371523002333,user_109642110729336476669
user_106930366760781442169,user_113117251731252114390
user_116214152295449083654,user_111091089527727420853
user_107959790171356428064,user_106450719398380308721
user_115772174763814642163,user_113180815516125966443
user_112527318327313368964,user_113004478335429508817
user_100070927167992422053,user_109140277806644720261
user_109318802055851257299,user_115710735637044108808
user_100447532306249738876,user_111121336912406932897
user_106955057806718560042,user_116899029375914044550
user_103150328351925153314,user_108439032486286528947
user_102817283354809142195,user_118051310819094153327
user_109596373340495798827,user_100275307499530023476
user_107323726887023845557,user_115064258994656104138
user_117680872003014443769,user_102556961352393259945
user_105598331474460267998,user_109454355652530787954
user_102854311912714900388,user_113351703941294630458
user_110865239138634754687,user_105668631124768022675
user_112799586715644830245,user_107808632970543448071
user_112696040957795558674,user_105545643950342933917
user_108024592838097465800,user_116340600090106376267
user_107727150903234299458,user_104428814384443083380
user_107727150903234299458,user_107558061013247958406
user_108343902805808619968,user_103133177397090504113
user_114346317659753507000,user_108189587050871927619
user_103839604733587411268,user_103103834116993607848
user_109877035555455451821,user_105450804580077896136
user_104896478495888175813,user_112188647432305746617
user_109829103207295789295,user_115919664843599780912
user_102665200552377966664,user_108397967064327046187
user_100555383096414009506,user_112662956693744460184
user_107991035368810507771,user_109443407918560334714
user_107892094740226004193,user_101948839174240778386
user_110792617224152644180,user_111513549056668450674
user_111860497034317566483,user_115450369001355623660
user_113211392356513293746,user_106724181552911298818
user_110258899475477198037,user_107332232527606860180
user_107383157816966336384,user_112726038360301567381
user_108222776324091828698,user_109667384864782087641
user_107959790171356428064,user_101948839174240778386
user_113764089012565237302,user_118230138066120295920
user_108322543021146059132,user_108159551615224338529
user_117680872003014443769,user_112761413213697188630
user_111035851894814840076,user_115708767330504735644
user_107033731246200681024,user_104376123433741873548
user_104064546334481015008,user_114979831891112909762
user_111142884289817620371,user_114516047414042281846
user_110258899475477198037,user_113371583041637564562
user_117741745713138927677,user_102871123574468799566
user_116766352265080910418,user_108219993075584340257
user_111162301399626566385,user_108855200241623204226
user_114466969251209334825,user_105841645449323318101
user_114345903275605514915,user_105015334290243649083
user_112579116320573535497,user_113464569897311842405
user_116973390574320264137,user_115404182941170857382
user_116513405135290689474,user_106792630639449031994
user_114516047414042281846,user_115655034901162574758
user_116374117927631468606,user_109923941665874520762
user_111164617594851614734,user_107469895927414342167
user_110615203095633370838,user_110286587261352351537
user_101283929962950159921,user_105076678694475690385
user_112188647432305746617,user_115027126761228160442
user_109306827362311084040,user_113210431006401244170
user_107367382218779881065,user_110348137481819778312
user_100377940347053808663,user_114969675270324680172
user_117286003363424561697,user_102604554618567108175
user_100141781431561572345,user_106086121009771648314
user_100075370731033242197,user_107861942561128674596
user_105650167745347450637,user_105084887709488317066
user_102965645472907300610,user_104298156070730115178
user_108008623488351650065,user_101174951617223562800
user_100447532306249738876,user_117068310245969878270
user_107379489464447013340,user_113364856660738963998
user_109317282441167678380,user_113920721823301219308
user_105857903906473238896,user_113710395888978478005
user_112105164797306466706,user_105841645449323318101
user_104602860284118862026,user_101235095970404720691
user_100555383096414009506,user_117310042965407401917
user_115243459806091371553,user_102854311912714900388
user_109486203725207616885,user_108246154658242260598
user_118224579703977604263,user_105557068601771362265
user_115541776543203333211,user_109398421611492546729
user_100327603635717936220,user_100209651993563042175
user_102002299339025067376,user_111538009015644508967
user_105248484118148978714,user_111962077049890418486
user_105857903906473238896,user_117286003363424561697
user_102915801446798382700,user_110456453592220725136
user_115106448444522478339,user_114765095157367281222
user_107055831699570675932,user_112413860260589530492
user_111159036121102171686,user_118416649789161476974
user_101448421982595335481,user_115017840964219023171
user_106467891941793155295,user_116975073519439921514
user_103461291458554701630,user_102443055443356357765
user_115622466243011136115,user_114487965928288927815
user_107760322959931160638,user_112450551749208408589
user_109318802055851257299,user_101350483659542128390
user_102815391713140794570,user_102669925369002527521
user_101261243957067319422,user_114592751246503219483
user_104679138423679974698,user_103536565508377128620
user_105363480331625813313,user_103135469583952620852
user_108736646334864181044,user_103721531088765428547
user_102904072906435195211,user_101261243957067319422
user_113127486243987630038,user_118197810020432218051
user_114301140286672625486,user_117691391504351341685
user_111711145986835145800,user_108645589277926899961
user_101733511248571240829,user_102443055443356357765
user_114345903275605514915,user_113003110209055466285
user_103103834116993607848,user_114951205049465295685
user_107151624355255036787,user_101441913939865423456
user_114126308045090257233,user_113493854651753327245
user_106612198252274444886,user_103053466327430879895
user_102038831382717835405,user_106198127150293840110
user_112276589013569458330,user_110286587261352351537
user_116819601264686093434,user_111058843129764709244
user_114850559479625069262,user_114717554329322767813
user_115578224090485355580,user_100043057758270223301
user_101052845941647002594,user_107534991451098430533
user_111711145986835145800,user_113340344488226387361
user_114870652491954460386,user_102737705736968820678
user_100956828577544924912,user_107846023896290257492
user_103103834116993607848,user_102476152658204495450
user_106493827472880328627,user_102766762874150493364
user_113554941842237111460,user_102271937385988687810
user_113261832667487932178,user_113364856660738963998
user_113097276181543898574,user_106912596786226524817
user_112658509879375652305,user_115710735637044108808
user_113523342129587107920,user_104586573589872571364
user_109454408494598337213,user_104397059726359189186
user_112330426094287690538,user_100834378485895409468
user_115047896996200277508,user_111538009015644508967
user_107991035368810507771,user_116807883656585676940
user_107375322906605680039,user_111056444123779199997
user_113581596275616200424,user_108320953284407783437
user_110351160992477343545,user_103097764320602190090
user_112330426094287690538,user_116872576248355504859
user_103020757351652425388,user_107159481602229362655
user_103795921262630398720,user_106755489263544557975
user_115919664843599780912,user_110446538727989465968
user_104602860284118862026,user_104895617958403173354
user_104679138423679974698,user_102315706662673946809
user_107892094740226004193,user_103916508880440628637
user_101052845941647002594,user_111538009015644508967
user_106724181552911298818,user_100834378485895409468
user_113202456305358222294,user_103135469583952620852
user_106682831104422461380,user_105237212888595777019
user_113882113745075873153,user_116570889542655364711
user_107782428411922679571,user_102965501513711820631
user_107211094246725549672,user_108615254983735704342
user_114857801937726299428,user_114987957963756854287
user_114742546997782116347,user_103618199843630115520
user_110171339580648239267,user_113882113745075873153
user_111162301399626566385,user_107236664740300085612
user_112651821425677274147,user_106755489263544557975
user_107991035368810507771,user_100327603635717936220
user_103150328351925153314,user_108052690474414852355
user_108322543021146059132,user_114066634313661891222
user_114301140286672625486,user_101174951617223562800
user_109486203725207616885,user_110523063757168736259
user_111121336912406932897,user_113475277239647026452
user_117691391504351341685,user_100940716892313727285
user_101682840338947184385,user_107782171898361344570
user_104896478495888175813,user_113180815516125966443
user_114345903275605514915,user_112671613807103204042
user_100327603635717936220,user_107861942561128674596
user_109201681846030076792,user_105850770551722768952
user_106324260969464307293,user_106384851351514110088
user_113202456305358222294,user_111435079858164240138
user_113684228229434604484,user_107495401691428541405
user_104250970445890717876,user_111164095920889813531
user_110318982509514011806,user_118207880179234484610
user_112875351967017263037,user_103133177397090504113
user_116229548584533052328,user_103997409386976193988
user_109823866624096356922,user_106450719398380308721
user_100333543044473222310,user_112218872649456413744
user_116719211656774388392,user_105366745723396342244
user_111711145986835145800,user_101948839174240778386
user_103833388179391400138,user_112650518269025150644
user_105668631124768022675,user_106944536119733342041
user_110877363259509543172,user_104987932455782713675
user_100923216452194411003,user_101799324245089780949
user_115958937168985975805,user_102556961352393259945
user_110788689115113965536,user_106100296973968329853
user_103006433735164333713,user_108246154658242260598
user_116807883656585676940,user_105547060999578080024
user_102817283354809142195,user_101560853443212199687
user_106037779398952255385,user_101944909681458315798
user_107383157816966336384,user_111538009015644508967
user_112737087024763980113,user_100854202666064752024
user_106862156479660675047,user_101475898311559705983
user_117741745713138927677,user_107300439022352685764
user_105598331474460267998,user_106166623138751182431
user_102829356913057400397,user_117220229319287930142
user_102204551868146455501,user_103429767916333774260
user_108462037665756760359,user_116805285176805120365
user_109318802055851257299,user_118230138066120295920
